"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","6","4 out of 5 stars","+2"
"2",1,"Bijan Robinson",ATL,"RB1","11","2 out of 5 stars","0"
"3",1,"Puka Nacua",LAR,"WR2","11","1 out of 5 stars","+1"
"4",1,"Jahmyr Gibbs",DET,"RB2","6","5 out of 5 stars","-3"
"5",1,"Jaxon Smith-Njigba",SEA,"WR3","11","3 out of 5 stars","0"
"6",2,"Amon-Ra St. Brown",DET,"WR4","6","4 out of 5 stars","+1"
"7",2,"Christian McCaffrey",SF,"RB3","8","2 out of 5 stars","-1"
"8",2,"CeeDee Lamb",DAL,"WR5","14","2 out of 5 stars","+3"
"9",2,"Justin Jefferson",MIN,"WR6","6","5 out of 5 stars","+1"
"10",2,"Jonathan Taylor",IND,"RB4","13","4 out of 5 stars","-1"
"11",2,"Drake London",ATL,"WR7","11","3 out of 5 stars","+7"
"12",3,"Nico Collins",HOU,"WR8","8","3 out of 5 stars","+10"
"13",3,"A.J. Brown",NE,"WR9","11","2 out of 5 stars","+6"
"14",3,"Ashton Jeanty",LV,"RB5","13","2 out of 5 stars","-6"
"15",3,"James Cook III",BUF,"RB6","7","2 out of 5 stars","-3"
"16",3,"George Pickens",DAL,"WR10","14","2 out of 5 stars","+7"
"17",3,"Trey McBride",ARI,"TE1","14","2 out of 5 stars","+8"
"18",3,"Chris Olave",NO,"WR11","8","3 out of 5 stars","+11"
"19",3,"De'Von Achane",MIA,"RB7","6","3 out of 5 stars","-4"
"20",3,"Brock Bowers",LV,"TE2","13","3 out of 5 stars","0"
"21",3,"Chase Brown",CIN,"RB8","6","2 out of 5 stars","-4"
"22",3,"Rashee Rice",KC,"WR12","5","2 out of 5 stars","+2"
"23",4,"Josh Allen",BUF,"QB1","7","3 out of 5 stars","+5"
"24",4,"DeVonta Smith",PHI,"WR13","10","4 out of 5 stars","+3"
"25",4,"Omarion Hampton",LAC,"RB9","7","3 out of 5 stars","-12"
"26",4,"Saquon Barkley",PHI,"RB10","10","4 out of 5 stars","-12"
"27",4,"Garrett Wilson",NYJ,"WR14","13","4 out of 5 stars","+10"
